অভ্যর্থনাকারী	obhyorthonakari	ovvorthonakari	obhyarthonakari	obhyortho-nakari	obhyarthanakari
অভিন্নরূপে	obhinnorupe	abhinna-rupe	obhinno-rupe	abhinna-rupe	obhinnorupe
অভিপ্রায়	obhipray	abhipray	obhi-pray	abhipraya	obhipray
অভিব্যক্তি	obhibbekti	obhibyokti	obhi-bbekti	abhivyakti	obhibbekti
অভ্যন্তরীণভাবে	obhyontorinovabe	ovvontorinovabe	obhyontorino-vabe	abhyantarinabhabe	obhyontorinovabe
অমর্যাদাকর	omorjadakor	amaryadakor	omorjada-kor	amaryadakar	omorjadakor
অম্লত্বনির্ণয়	omlottonirnoy	amlattonirnoy	omlotto-nirnoy	amlatwanirnaya	omlottonirnoy
অর্গলমুক্ত	orgolomukto	argalamukto	orgolo-mukto	argalamukta	orgolomukto
অর্থবহুল	orthobohul	arthabohul	ortho-bohul	arthabahul	orthobohul
অর্থহীনতা	orthohinota	arthahinota	ortho-hino-ta	arthahinata	orthohinota
অর্থনৈতিকভাবে	orthonoitikvabe	arthanoitikvabe	orthonoitiko-vabe	arthanaitikabhabe	orthonoitikvabe
অলঙ্করণশিল্প	olongkoronshilpo	alankaranshilpo	olongkoron-shilpo	alankaranshilpa	olongkoronshilpo
অশান্তিপূর্ণ	oshantipurno	ashantipurno	oshanti-purno	ashanti-purna	oshantipurno
অশিক্ষাজনিত	oshikkhajonito	ashikshajonito	oshikkha-jonito	ashikshajanita	oshikkhajonito
অসঙ্গতিপূর্ণ	oshonggotipurno	asonggotipurno	oshonggoti-purno	asangati-purna	oshonggotipurno
অসাধ্যসাধন	oshaddhosadhon	asadhyasadhan	oshaddho-sadhon	asadhyasadhan	oshaddhosadhon
অসুবিধাজনক	oshubidhajonok	asubidhajonok	oshubidha-jonok	asubidhajanak	oshubidhajonok
অস্ত্রশস্ত্র	ostroshostro	astroshastro	ostro-shostro	astrashastra	ostroshostro
অস্বীকৃত	oshshikrito	aswikrito	oshshikrito	aswikrta	oshshikrito
আকস্মিকতা	akoshmikota	akosmikita	akoshmiko-ta	akasmikata	akoshmikota
আক্রমণাত্মক	akromonattok	akramonatmak	akromono-attok	akramanatmaka	akromonattok
আত্মত্যাগী	attottyagi	atmatyagi	atto-tyagi	atmatyagi	attottyagi
আত্মনির্ভরশীল	attonirvorshil	atmanirbharshil	atto-nirvor-shil	atmanirbharashil	attonirvorshil
আত্মপ্রতিষ্ঠা	attoprotishtha	atmapratishtha	atto-protishtha	atmapratishtha	attoprotishtha
আত্মসংকোচ	attoshongkoch	atmasongkoch	atto-shongkoch	atmasankoch	attoshongkoch
আত্মহত্যাপ্রবণ	attohottaprobon	atmahattyaprobon	atto-hotta-probon	atmahatya-praban	attohottaprobon
আনন্দোচ্ছ্বাস	anondochchhash	anandochchhash	anondo-cchhash	anandochchhwasa	anondochchhash
আন্তঃসম্পর্ক	antorshomporko	antosshomporko	antor-shomporko	antahsamporka	antorshomporko
আন্তঃসীমান্ত	antorshimanto	antahsImanto	antor-shimanto	antahsImanta	antorshimanto
আবশ্যকতাভিত্তিক	aboshshokotabhittik	abashyakotabhittik	aboshshokota-bhittik	abashyakata-bhittik	aboshshokotabhittik
আবৃত্তিশিল্পী	abrittishilpi	abrittishilpi	abritti-shilpi	abrittishilpi	abrittishilpee
আয়তক্ষেত্রাকার	ayotokhetrakar	ayatakshetrakar	ayoto-kkhetro-kar	ayatakshetrakara	ayotokhetrakar
আরোগ্যলাভ	aroggolav	arogyolav	aroggyo-lav	arogya-labh	aroggolav
আলোকচিত্রগ্রাহক	alokchitrograhok	alokchitragrohok	alok-chitro-grahok	alokchitragrahak	alokchitrograhok
ইতিবৃত্তান্ত	itibrittanto	itibrittanta	iti-brittanto	itivrittanta	itibrittanto
ইতোমধ্যেই	itomoddhei	itimoddhei	ito-moddhei	itimadhyei	itomoddhei
ইন্দ্রিয়পরায়ণ	indriyoporayon	indriyoparayon	indriyo-porayon	indriyaparayana	indriyoporayon
ইচ্ছানির্ভর	icchanirvor	ichchanirbhar	iccha-nirvor	ichchanirbhar	icchanirvor
উচ্চশিক্ষাপ্রতিষ্ঠান	ucchoshikkhaprotishthan	uchchashikshapratishthan	uccho-shikkha-protishthan	uchchashikshapratishthan	ucchoshikkhaprotishthan
উচ্চারণবিধি	uccharonbidhi	uchcharonbidhi	uccharon-bidhi	uchcharanabidhi	uccharonbidhi
উচ্ছেদযোগ্য	ucchedjoggo	uchchhedjoggo	ucched-joggo	uchchhedayogya	ucchedjoggo
উজ্জ্বলতর	ujjolotor	ujjwalotar	ujjolo-tor	ujjwalatar	ujjolotor
উৎকর্ষসাধন	utkorShosadhon	utkarshosadhon	utkorSho-sadhon	utkarsha-sadhan	utkorShosadhon
উৎপত্তিস্থল	utpottisthol	utpattisthol	utpotti-sthol	utpattisthal	utpottisthol
উৎপ্রেক্ষামূলক	utprekkhamulok	utprekshamulok	utprekkha-mulok	utpreksha-mulaka	utprekkhamulok
উদ্ভিদসংক্রান্ত	udbhidoshongkranto	udbhidsongkranto	udbhido-shongkranto	udbhida-samkranta	udbhidoshongkranto
উদ্যোক্তাবৃন্দ	uddoktabrindo	uddyoktabrindo	uddokta-brindo	uddyoktabrinda	uddoktabrindo
উদ্ধারপ্রক্রিয়া	uddharprokriya	uddharaprokriya	uddhar-prokriya	uddharaprakriya	uddharprokriya
উন্নতিসাধন	unnotishadhon	unnatisadhon	unnoti-shadhon	unnati-sadhan	unnotishadhon
উন্মুক্তপ্রাঙ্গণ	unmuktopranggon	unmuktoprangan	unmukto-pranggon	unmukta-prangan	unmuktopranggon
উপকরণসমূহ	upokoronshomuho	upakaranasamuha	upokoron-shomuho	upakaranasamuha	upokoronshomuho
উপদ্রবপ্রবণ	upodrobprobon	upadrabprobon	upodrob-probon	upadraba-praban	upodrobprobon
উপনিবেশিকতা	uponibeshikota	upanibeshikota	uponibeshiko-ta	upanibeshikata	uponibeshikota
উপস্থাপনকৌশল	uposthaponkoushol	upasthaponakoushol	uposthapon-koushol	upasthapana-kaushal	uposthaponkoushol
উপহারস্বরূপ	upoharshworup	upaharswarup	upohar-shworup	upahara-swarupa	upoharshworup
ঊর্ধ্বমুখিতার	urdhwomukhitar	urdhwamukhitar	urdhwo-mukhitar	urdhwamukhitara	urdhwomukhitar
ঋণাত্মকতা	rinattokota	rinatmokota	rin-attokota	rinatmakata	rinattokota
ঋতুচক্রপরিবর্তন	rituchokroPoriborton	rituchakraparibartan	ritu-chokro-poriborton	rituchakra-parivartan	rituchokroPoriborton
একাগ্রচিত্তে	ekagrochitte	ekagrachitte	ekagro-chitte	ekagrachitte	ekagrochitte
একতরফাভাবে	ektorofavabe	ekataraphabe	ektorofo-vabe	ekataraphabe	ektorofavabe
একাধিকরণ	ekadhikoron	ekadhikaron	eka-dhikoron	ekadhikaran	ekadhikoron
ঐতিহ্যসংরক্ষণ	oitihashongrokkhon	aitihyasangrakkhon	oitiho-shongrokkhon	aitihya-sangrakshan	oitihashongrokkhon
ঐচ্ছিকবিষয়	oicchikbishoy	aichchhikbishoy	oicchik-bishoy	aichchhika-vishay	oicchikbishoy
ওষ্ঠ্যধ্বনি	oshthyodhwoni	oshthodhwoni	oshthyo-dhwoni	oshthya-dhwani	oshthyodhwoni
কক্ষনিরাপত্তা	kokkhonirapotta	kakshonirapotta	kokkho-nirapotta	kaksha-nirapattA	kokkhonirapotta
কণ্ঠসঙ্গীতশিল্পী	konthoshonggitshilpi	kanthosonggitshilpi	kontho-shonggit-shilpi	kantha-sangit-shilpi	konthoshonggitshilpee
কতিপয়সংখ্যক	kotipoyshongkhok	katipoysankhyak	kotipoy-shongkhok	katipaya-sankhyaka	kotipoyshongkhok
কর্তব্যবিমুখ	kortobbobimukh	kartabyabimukh	kortobbo-bimukh	kartabya-bimukh	kortobbobimukh
কর্মনিষ্ঠব্যক্তি	kormonishthobekti	karmanishthobyakti	kormo-nishtho-bekti	karma-nishtha-byakti	kormonishthobekti
কর্মপরিবেশ	kormoporibesh	karmaparibesh	kormo-poribesh	karma-paribesh	kormoporibesh
কল্পকাহিনিভিত্তিক	kolpokahinibhittik	kalpakahinibhittik	kolpo-kahini-bhittik	kalpa-kahini-bhittik	kolpokahinibhittik
কৃষ্ণবর্ণ	krishnoborno	krishnabarn	krishno-borno	krishna-barna	krishnoborno
কেন্দ্রনির্ভর	kendronirvor	kendranirbhar	kendro-nirvor	kendra-nirbhar	kendronirvor
ক্ষতিকরপ্রভাব	khotikorpRobhab	kshatikarprabhav	khotikor-probhab	kshatikara-prabhav	khotikorpRobhab
ক্ষতিপূরণপ্রাপ্ত	khotipuronprapto	kshatipuranprapto	khoti-puron-prapto	kshatipurana-prapta	khotipuronprapto
ক্ষুদ্রপরিসরে	khudroPorishore	kshudraparisare	khudro-porishore	kshudra-parisare	khudroPorishore
ক্ষুধানিবৃত্তি	khudhanibritti	kshudhanivritti	khudha-nibritti	kshudha-nivritti	khudhanibritti
ক্ষমতাবানব্যক্তি	khomotabanbekti	kshamatabanbyakti	khomotaban-bekti	kshamataban-byakti	khomotabanbekti
খ্যাতিপ্রাপ্ত	khyatiprapto	khyatiprapto	khyati-prapto	khyati-prapta	khyatiprapto
খণ্ডকালব্যাপী	khondokalbyapi	khandakalbyapi	khondo-kal-byapi	khanda-kal-vyapi	khondokalbyapi
গণতান্ত্রিকব্যবস্থা	gonotantrikbebostha	ganatantrikbyabastha	gono-tantrik-bebostha	ganatantrik-byabastha	gonotantrikbebostha
গণমাধ্যমনির্ভর	gonomaddhomnirvor	ganamadhyamanirbhar	gono-maddhom-nirvor	gana-madhyama-nirbhar	gonomaddhomnirvor
গবেষণালব্ধ	gobeshonalobdho	gabeshonalabdho	gobeshona-lobdho	gabeshana-labdha	gobeshonalobdho
গর্ভকালীন	gorbhokalin	garbhakalin	gorbho-kalin	garbha-kalin	gorbhokalin
গৃহপরিচারিকা	grihoporicharika	grihaparicharika	griho-poricharika	griha-paricharika	grihoporicharika
গ্রন্থসমালোচনা	gronthosomalochona	granthasamalocona	grontho-somalochona	grantha-samalochana	gronthosomalochona
গ্রহণপ্রক্রিয়া	grohonprokriya	grahanaprokriya	grohon-prokriya	grahana-prakriya	grohonprokriya
ঘটনাপ্রবাহ	ghontonaproboho	ghatanaprabaho	ghontona-proboho	ghatana-prabaha	ghontonaproboho
ঘর্ষণশক্তি	ghorshonshokti	gharshanashakti	ghorshon-shokti	gharshana-shakti	ghorshonshokti
ঘৃণ্যঅপরাধ	ghrinnooporadh	ghrinnoaparadh	ghrinno-oporadh	ghrinya-aparadh	ghrinnooporadh
চক্রাকারগতি	chokrakargoti	chakrakaragati	chokro-kar-goti	chakra-kara-gati	chokrakargoti
চক্ষুলজ্জা	chokkhulojja	chakshulajja	chokkhu-lojja	chakshu-lajja	chokkhulojja
চিত্রাঙ্কনশিল্প	chitrankonshilpo	chitrankanshilpo	chitra-ankon-shilpo	chitrankanashilpa	chitrankonshilpo
চিন্তাপ্রবণতা	chintaprobOnota	chintaprabonata	chinta-probonota	chinta-prabanata	chintaprobOnota
ছাত্রাবাসভিত্তিক	chattrabashbhittik	chatrabasabhittik	chattro-bash-bhittik	chatra-basa-bhittik	chattrabashbhittik
ছায়াছবিনির্মাণ	chhayachhobinirman	chayachhabi-nirman	chhaya-chhobi-nirman	chhaya-chhabi-nirman	chhayachhobinirman
জন্মদাত্রী	jonmodatri	janmadatri	jonmo-datri	janma-datri	jonmodatri
জন্মসনদপত্র	jonmosonodpotro	janmasanadpatra	jonmo-sonod-potro	janma-sanad-patra	jonmosonodpotro
জ্ঞানভিত্তিক	ggyanbhittik	gyanbhittik	ggyan-bhittik	jnyana-bhittik	ggyanbhittik
জ্যোতিষশাস্ত্র	jyotishshastro	jyotishshastro	jyotish-shastro	jyotisha-shastra	jyotishshastro
ঝঞ্ঝাক্ষুব্ধ	jhonjhakkhubdho	jhanjhakshubdho	jhonjha-kkhubdho	jhanjha-kshubdha	jhonjhakkhubdho
ট্রাফিকব্যবস্থাপনা	trafficbebosthapona	trafikbyabasthapona	traffic-bebosthapona	trafik-byabasthapana	trafficbebosthapona
ড্রাইভিংলাইসেন্স	drivinglicense	driving-licence	draiving-laisens	driving-license	draivinglicense
তত্ত্বগতভাবে	tottwogotovabe	tattwagotabhabe	tottwo-goto-vabe	tattwa-gatabhabe	tottwogotovabe
তত্ত্বসমৃদ্ধ	tottwosomriddho	tattwasamriddho	tottwo-somriddho	tattwa-samriddha	tottwosomriddho
তদন্তপ্রক্রিয়া	todontoprokriya	tadantaprokriya	todonto-prokriya	tadanta-prakriya	todontoprokriya
তন্ময়চিত্তে	tonmoychitte	tanmoychitte	tonmoyo-chitte	tanmaya-chitte	tonmoychitte
তরঙ্গদৈর্ঘ্য	toronggodoirgho	taranggadairghya	toronggo-doirgho	taranga-dairghya	toronggodoirgho
তীব্রপ্রতিক্রিয়া	tibroprotikriya	tivrapratikriya	tibro-protikriya	tivra-pratikriya	tibroprotikriya
ত্রাণকার্যক্রম	trankarjokrom	tranakaryakram	tran-karjo-krom	trana-karya-kram	trankarjokrom
ত্রাসসৃষ্টিকারী	trassrishtikari	trasasrishtikari	trass-srishti-kari	trasa-srishtikari	trassrishtikari
ত্রুটিপূর্ণতা	trutipurnota	trutipurnata	truti-purno-ta	truti-purnata	trutipurnota
দক্ষিণপূর্বাঞ্চল	dokkhinpurbonchol	dakshinapurbanchal	dokkhino-purbo-onchol	dakshina-purba-anchal	dokkhinpurbonchol
দণ্ডনীয়অপরাধ	dondoniyooporadh	dandanioaparadh	dondo-niyo-oporadh	dandaniya-aparadh	dondoniyooporadh
দায়িত্ববোধসম্পন্ন	dayittobodhshompanno	dayitwobodhsampanna	dayitto-bodh-shompanno	dayitwa-bodha-sampanna	dayittobodhshompanno
দুর্নীতিদমন	durnitidomon	durnitidaman	durniti-domon	durniti-daman	durnitidomon
দুর্বৃত্তচক্র	durbrittochokro	durvrittachakra	durbritto-chokro	durvritta-chakra	durbrittochokro
দৃঢ়প্রতিজ্ঞ	drirhoprotiggo	drirhapratiggo	drirho-protiggo	dridha-pratijnya	drirhoprotiggo
দৃষ্টান্তস্থাপন	drishtantosthapon	drishtantasthapon	drishtanto-sthapon	drishtanta-sthapan	drishtantosthapon
দ্বন্দ্বনিরসন	dwondoniroshon	dwandwanirasan	dwondo-niroshon	dwandwa-nirasan	dwondoniroshon
দ্বিপ্রহর	dwiprohor	dwiprahar	dwi-prohor	dwi-prahar	dwiprohor
দ্রুতপরিবহন	drutoporibohon	drutaparibahan	druto-poribohon	druta-paribahan	drutoporibohon
ধর্মীয়অনুষ্ঠান	dhormiyoonushthan	dharmiyaanushthan	dhormiyo-onushthan	dharmiya-anushthan	dhormiyoonushthan
ধারণক্ষমতা	dharonkhomota	dharankshamata	dharon-khomota	dharana-kshamata	dharonkhomota
নকশাবহির্ভূত	nokshabohirbhuto	nakshabahirbhuto	noksha-bohirbhuto	naksha-bahirbhuta	nokshabohirbhuto
নিরন্তরপ্রচেষ্টা	nirontorprocheshta	nirantarapracheshta	nirontoro-procheshta	nirantara-pracheshta	nirontorprocheshta
নিরপেক্ষদৃষ্টিভঙ্গি	niropekkhodrishtibhongi	nirapekshadrishtibhongi	niropekkho-drishti-bhongi	nirapeksha-drishti-bhangi	niropekkhodrishtibhongi
নির্বাচকমণ্ডলী	nirbachokmondoli	nirbachakamandali	nirbachok-mondoli	nirbachaka-mandali	nirbachokmondoli
নির্ভুলতানির্ণয়	nirbhulotanirnoy	nirbhulatanirnoy	nirbhulota-nirnoy	nirbhulata-nirnaya	nirbhulotanirnoy
নিষিদ্ধঘোষিত	nishiddhoghoshito	nishiddhaghoshito	nishiddho-ghoshito	nishiddha-ghoshita	nishiddhoghoshito
নিষ্কলঙ্কচরিত্র	nishkolonkocoritro	nishkalankacharitra	nishkolonko-choritro	nishkalanka-charitra	nishkolonkocoritro
নিষ্পেষণযোগ্য	nishpeshonjoggo	nishpeshanayogya	nishpeshoN-joggo	nishpeshana-yogya	nishpeshonjoggo
নৃবিজ্ঞানভিত্তিক	nribigganbhittik	nribijnanbhittik	nri-biggan-bhittik	nri-vijnana-bhittik	nribigganbhittik
ন্যায়বিচারপ্রাপ্তি	nyaybicharprapti	nyayabicharprapti	nyay-bichar-prapti	nyaya-bichara-prapti	nyaybicharprapti
পক্ষকালব্যাপী	pokkhokalbyapi	pakshakalbyapi	pokkho-kal-byapi	paksha-kal-vyapi	pokkhokalbyapi
পদ্ধতিসম্মত	poddhutishommoto	paddhatisammata	poddhoti-shommoto	paddhati-sammata	poddhutishommoto
পরস্পরবিরোধী	porosporbirodhi	parasparabirodhi	porospor-birodhi	paraspara-virodhi	porosporbirodhi
পরিচালনব্যবস্থা	porichalonbebostha	parichalanabyabastha	porichalon-bebostha	parichalana-byabastha	porichalonbebostha
পরিপন্থী	poriponthi	pariponthi	pori-ponthi	paripanthi	poriponthi
পরিষ্কারপরিচ্ছন্ন	porishkarporicchonno	parishkaraparichchhanno	porishkar-poricchonno	parishkara-parichchhanna	porishkarporicchonno
পর্যবসানকাল	porjoboshankal	paryabasanakal	porjoboshan-kal	paryabasana-kal	porjoboshankal
পর্যায়ভিত্তিক	porjaybhittik	paryaybhittik	porjay-bhittik	paryaya-bhittik	porjaybhittik
পুনর্বিন্যাসযোগ্য	punorbinnyashjoggo	punarvinyasayogya	punor-binnyash-joggo	punarvinyasa-yogya	punorbinnyashjoggo
পূর্বপরিকল্পিত	purboporikolpito	purbaparikalpito	purbo-porikolpito	purba-parikalpita	purboporikolpito
প্রকাশনাস্বত্ব	prokashonashotto	prakashanaswatwa	prokashona-shotto	prakashana-swatwa	prokashonashotto
প্রতিকূলপরিস্থিতি	protikuloporishthiti	pratikulaparishthiti	protikulo-porishthiti	pratikula-parishthiti	protikuloporishthiti
প্রতিপক্ষীয়	protipokkhiYo	pratipakshiyo	proti-pokkhiYo	prati-pakshiya	protipokkhiYo
প্রতিবন্ধিতাবিহীন	protibondhitabihin	pratibandhitabihin	proti-bondhita-bihin	pratibandhita-bihin	protibondhitabihin
প্রতিষ্ঠানপ্রধান	protishthanprodhan	pratishthanapradhan	protishthan-prodhAn	pratishthana-pradhan	protishthanprodhan
প্রত্ননিদর্শন	protnonidorshon	pratnanidarshan	protno-nidorshon	pratna-nidarshan	protnonidorshon
প্রত্যাশাপূরণ	prottyashapuron	pratyashapuran	prottyasha-puron	pratyasha-puran	prottyashapuron
প্রদত্ততালিকা	prodottotalika	pradattatalika	prodotto-talika	pradatta-talika	prodottotalika
প্রধাননির্বাচক	prodhannirbachok	pradhananirbachak	prodhan-nirbachok	pradhana-nirbachaka	prodhannirbachok
প্রবেশপত্রবিহীন	probeshpotrobihin	prabeshapatrabihin	probesh-potro-bihin	prabesha-patra-bihin	probeshpotrobihin
প্রবৃদ্ধিপ্রবণ	probriddhiprobon	pravriddhiprabon	probriddhi-probon	pravriddhi-praban	probriddhiprobon
প্রশস্তপরিসর	proshostoporishor	prashastaparisar	proshosto-porishor	prashasta-parisar	proshostoporishor
প্রসঙ্গানুগ	proshongganug	prasangganug	proshonggo-anug	prasanga-anug	proshongganug
প্রস্তাবপ্রণেতা	prostabproneta	prastabapraneta	prostab-proneta	prastaba-praneta	prostabproneta
প্রাণিবিজ্ঞানী	pranibiggyani	pranibijnani	prani-biggyani	prani-vijnani	pranibiggyani
প্রাথমিকবিদ্যালয়	prathomikbiddaloy	prathamikavidyalay	prathomik-biddaloy	prathamika-vidyalay	prathomikbiddaloy
ফলপ্রদতা	folprodota	phalapradota	folprodo-ta	phala-pradata	folprodota
ফ্রিজসংরক্ষণ	fridgeshongrokkhon	fridge-sangrakkhon	fridge-shongrokkhon	frij-sangrakshan	fridgeshongrokkhon
বক্তৃতামঞ্চ	boktritamOncho	baktritamancha	boktrita-moncho	baktrita-mancha	boktritamOncho
বঞ্চিতজনগোষ্ঠী	bonchitojonogoshthi	banchitajonogoshthi	bonchito-jono-goshthi	banchita-jana-goshthi	bonchitojonogoshthi
বদ্ধমূলধারণা	boddhomuldharona	baddhamuladharana	boddho-mul-dharona	baddha-mula-dharana	boddhomuldharona
বর্ধনশীলতা	bordhonshilota	bardhanashilata	bordhon-shilota	bardhana-shilata	bordhonshilota
বহিরাগতব্যক্তি	bohiragotoBekti	bahiragatabyakti	bohira-goto-bekti	bahiragata-byakti	bohiragotoBekti
বাকস্বাধীনতা	bakshwadhinota	bakswadhinota	bak-shwadhinota	vak-swadhinata	bakshwadhinota
বাণিজ্যপ্রতিষ্ঠান	banijjoprotishthan	banijyapratishthan	banijjo-protishthan	banijya-pratishthan	banijjoprotishthan
বিচিত্রপ্রকৃতি	bichitroprokriti	bichitraprakriti	bichitro-prokriti	bichitra-prakriti	bichitroprokriti
বিজ্ঞজনসমাজ	biggojonshomaj	biggyajanasamaj	biggo-jon-shomaj	biggya-jana-samaj	biggojonshomaj
বিদ্রোহপ্রবণ	bidrohprobon	bidrohprabon	bidroho-probon	bidroha-praban	bidrohprobon
বিনিয়োগপ্রবণতা	biniyogprobOnota	biniyogaprabonata	biniyog-probonota	biniyoga-prabanata	biniyogprobOnota
বিপরীতপ্রতিক্রিয়া	biporitoprotikriya	biparitapratikriya	biporito-protikriya	biparita-pratikriya	biporitoprotikriya
বিভ্রান্তিমূলক	bibhrantimulok	bibhrantimulok	bibhranti-mulok	vibhranti-mulaka	bibhrantimulok
বিরোধনিষ্পত্তি	birodhnishpotti	birodhanishpatti	birodh-nishpotti	virodha-nishpatti	birodhnishpotti
বিশ্লেষণক্ষমতা	bishleshonkhomota	vishleshanakshamata	bishleshon-khomota	vishleshana-kshamata	bishleshonkhomota
বিষয়নির্ভরতা	bishoynirvorta	bishayanirbharata	bishoy-nirvorota	vishaya-nirbharata	bishoynirvorta
বিস্মৃতপ্রায়	bismritopray	bismritapray	bismrito-pray	vismrita-praya	bismritopray
বৃক্ষরাজি	brikkhoraji	vriksharaji	brikkho-raji	vriksha-raji	brikkhoraji
বৈজ্ঞানিকদৃষ্টিভঙ্গি	boigganikdrishtibhongi	baigyanikadrishtibhongi	boigganik-drishti-bhongi	vaigyanika-drishti-bhangi	boigganikdrishtibhongi
ব্যক্তিস্বাতন্ত্র্য	bektishwatontro	byaktiswatantrya	bekti-shwatontro	byakti-swatantya	bektishwatontro
ব্যবহারযোগ্যতা	beboharjoggotA	byabaharayoggyata	bebohar-joggotA	byabahAra-yoggyata	beboharjoggotA
ব্যাখ্যাদানকারী	byakkhadan kari	byakhyadanakari	byakkha-dan-kari	vyakhya-dana-kari	byakkhadan kari
ব্যাঘাতসৃষ্টিকারী	byaghatssrishtikari	byaghat-srishtikari	byaghat-srishti-kari	vyaghata-srishtikari	byaghatssrishtikari
ভবিষ্যৎনির্ভর	bhobishshotnirvor	bhavishyatnirbhar	bhobishshot-nirvor	bhavishya-nirbhar	bhobishshotnirvor
ভূমিকম্পপ্রবণ	bhumikompoprobon	bhumikampaprabon	bhumikompo-probon	bhumikampa-praban	bhumikompoprobon
ভ্রাতৃসুলভ	bhratrisulov	bhratrisulabh	bhratri-sulov	bhratri-sulabha	bhratrisulov
মতামতপ্রকাশ	motamotprokash	matamataprakash	motamot-prokash	matamata-prakash	motamotprokash
মধ্যরাত্রিকাল	moddhoratrikal	madhyaratrikal	moddho-ratri-kal	madhya-ratri-kal	moddhoratrikal
মন্ত্রিসভাপ্রধান	montrishobhaprodhan	mantrisabhapradhan	montri-shobha-prodhAn	mantri-sabha-pradhan	montrishobhaprodhan
মর্মান্তিকঘটনা	mormantikghotona	marmantikaghatana	mormantiko-ghotona	marmantika-ghatana	mormantikghotona
মহাপরিকল্পনা	mohaporikolpona	mahaparikalpana	moha-porikolpona	maha-parikalpana	mohaporikolpona
মহাবিশ্বতত্ত্ব	mohobishshototto	mahavishwatattwa	moho-bishsho-totto	maha-vishwa-tattwa	mohobishshototto
মুদ্রাস্ফীতিহার	mudrashphitihar	mudrasphitihar	mudrashphiti-har	mudra-sphiti-har	mudrashphitihar
মৌলিকপ্রয়োজন	moulikoproyojon	maulikaprayojon	mouliko-proyojon	maulika-prayojan	moulikoproyojon
যন্ত্রাংশনির্মাণ	jontrangshonirman	yantrangshanirman	jontro-angsho-nirman	yantra-ansha-nirman	jontrangshonirman
যথোপযুক্ত	jothopojukto	jathopojukto	jotho-pojukto	yathopayukta	jothopojukto
যৌথপ্রচেষ্টা	jouthoprocheshta	yauthapracheshta	joutho-procheshta	yautha-pracheshta	jouthoprocheshta
রক্তক্ষয়ীসংঘর্ষ	roktokkhoishongghorsho	raktakshayisangharsha	rokto-kkhoyi-shongghorsho	rakta-kshayi-sangharsha	roktokkhoishongghorsho
রাষ্ট্রবিজ্ঞানী	rashtrabiggani	rashtravijnani	rashtra-biggyani	rashtra-vijnani	rashtrabiggani
রূপকল্পপ্রণয়ন	rupokolpopronoyon	rupakalpapranayan	rupo-kolpo-pronoyon	rupa-kalpa-pranayan	rupokolpopronoyon
লক্ষ্যনির্দিষ্ট	lokkhonirdishto	lakshyanirdishto	lokkho-nirdishto	lakshya-nirdishta	lokkhonirdishto
লঙ্ঘনপ্রবণতা	longghonprobOnota	langghanaprabonata	longghon-probonota	langghana-prabanata	longghonprobOnota
শক্তিক্ষয়জনিত	shoktikkhoyjonito	shaktikshayajanita	shokti-kkhoy-jonito	shakti-kshaya-janita	shoktikkhoyjonito
শব্দদূষণপ্রবণ	shobdodushonprobon	shabdadushanaprabon	shobdo-dushon-probon	shabda-dushana-praban	shobdodushonprobon
শরণাপন্ন	shoronaponno	sharanaponno	shorona-ponno	sharana-panna	shoronaponno
শারীরিকপ্রতিবন্ধকতা	sharirikoprotibondhokota	sharirikapratibandhakata	shaririko-protibondhokota	sharirika-pratibandhakata	sharirikoprotibondhokota
শিক্ষণপদ্ধতি	shikkhonpoddhoti	shikshanapaddhati	shikkhon-poddhoti	shikshana-paddhati	shikkhonpoddhoti
শিল্পোৎপাদন	shilpoutpadon	shilpautpadan	shilpo-utpadon	shilpa-utpadana	shilpoutpadon
শৃঙ্খলাসম্মত	shrinkholashommoto	shrinkhalasammata	shrinkhola-shommoto	shrinkhala-sammata	shrinkholashommoto
শ্রদ্ধাভাজন	shraddhabhajon	shraddhabhajan	shraddha-bhajon	shraddha-bhajana	shraddhabhajon
শ্রেণিসংগ্রাম	shrenishonggram	shrenisangram	shreni-shonggram	shreni-sangram	shrenishonggram
শ্রুতিমধুর	shrutimodhur	shrutimadhur	shruti-modhur	shruti-madhur	shrutimodhur
ষড়ঋতু	shororitu	shadaritu	shoro-ritu	shad-ritu	shororitu
ষড়ভুজাকৃতি	shorobhujakriti	shadbhujakriti	shoro-bhuja-kriti	shad-bhuja-kriti	shorobhujakriti
সংকীর্ণপরিসর	shonkirnoporishor	sankirnaparisar	shonkirno-porishor	sankirna-parisar	shonkirnoporishor
সংগৃহীততথ্য	shonggrihitotottho	sangrihitatathya	shonggrihito-tottho	sangrihita-tathya	shonggrihitotottho
সংঘবদ্ধপ্রচেষ্টা	shongghoboddhoprocheshta	sanghabaddhapracheshta	shonggho-boddho-procheshta	sangha-baddha-pracheshta	shongghoboddhoprocheshta
সংবর্ধনাপত্র	shongbordhonapotro	sambardhanapatra	shongbordhona-potro	sambardhana-patra	shongbordhonapotro
সংশয়াতীত	shongshoyatit	sanshayatit	shongshoy-atit	sanshaya-atita	shongshoyatit
সন্তুষ্টিপ্রকাশ	shontushtiprokash	santushtiprakash	shontushti-prokash	santushti-prakash	shontushtiprokash
সম্পদব্যবস্থাপনা	shompodbebosthapona	sampadbyabasthapana	shompod-bebosthapona	sampada-byabasthapana	shompodbebosthapona
সম্প্রীতিবর্ধক	shompritibordhok	sampritivardhak	shompriti-bordhok	sampriti-vardhak	shompritibordhok
